plan: 4512 slices, 9.470B positions  [win/draw/loss WITH the fifty-move rule, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   57.1%  4174/4512 slices  5.41B/9.47B positions  3.4M/s  26m elapsed, 20m left
   57.4%  4175/4512 slices  5.43B/9.47B positions  3.4M/s  26m elapsed, 20m left
   58.2%  4176/4512 slices  5.51B/9.47B positions  3.4M/s  27m elapsed, 19m left
   58.4%  4178/4512 slices  5.53B/9.47B positions  3.4M/s  27m elapsed, 19m left
   58.5%  4185/4512 slices  5.54B/9.47B positions  3.4M/s  27m elapsed, 19m left
   58.7%  4187/4512 slices  5.56B/9.47B positions  3.4M/s  27m elapsed, 19m left
   58.9%  4195/4512 slices  5.58B/9.47B positions  3.4M/s  27m elapsed, 19m left
   59.1%  4201/4512 slices  5.60B/9.47B positions  3.4M/s  27m elapsed, 19m left
   59.6%  4206/4512 slices  5.65B/9.47B positions  3.4M/s  27m elapsed, 19m left
   59.8%  4211/4512 slices  5.66B/9.47B positions  3.4M/s  28m elapsed, 19m left
   60.0%  4213/4512 slices  5.68B/9.47B positions  3.4M/s  28m elapsed, 18m left
   60.2%  4218/4512 slices  5.70B/9.47B positions  3.4M/s  28m elapsed, 18m left
   60.8%  4221/4512 slices  5.76B/9.47B positions  3.4M/s  28m elapsed, 18m left
   61.0%  4225/4512 slices  5.77B/9.47B positions  3.4M/s  28m elapsed, 18m left
   61.3%  4227/4512 slices  5.81B/9.47B positions  3.4M/s  28m elapsed, 18m left
   61.5%  4229/4512 slices  5.83B/9.47B positions  3.4M/s  28m elapsed, 18m left
   61.8%  4232/4512 slices  5.85B/9.47B positions  3.4M/s  28m elapsed, 18m left
   62.0%  4238/4512 slices  5.87B/9.47B positions  3.4M/s  29m elapsed, 18m left
   62.2%  4242/4512 slices  5.89B/9.47B positions  3.4M/s  29m elapsed, 17m left
   62.5%  4243/4512 slices  5.91B/9.47B positions  3.4M/s  29m elapsed, 17m left
   63.3%  4244/4512 slices  5.99B/9.47B positions  3.4M/s  29m elapsed, 17m left
   63.4%  4245/4512 slices  6.01B/9.47B positions  3.4M/s  29m elapsed, 17m left
   63.6%  4250/4512 slices  6.02B/9.47B positions  3.4M/s  29m elapsed, 17m left
   63.8%  4253/4512 slices  6.04B/9.47B positions  3.4M/s  29m elapsed, 17m left
   64.0%  4258/4512 slices  6.06B/9.47B positions  3.4M/s  30m elapsed, 17m left
   64.2%  4264/4512 slices  6.08B/9.47B positions  3.4M/s  30m elapsed, 17m left
   64.4%  4273/4512 slices  6.10B/9.47B positions  3.4M/s  30m elapsed, 16m left
   64.5%  4276/4512 slices  6.11B/9.47B positions  3.4M/s  30m elapsed, 16m left
   64.9%  4277/4512 slices  6.14B/9.47B positions  3.4M/s  30m elapsed, 16m left
   65.0%  4282/4512 slices  6.16B/9.47B positions  3.4M/s  30m elapsed, 16m left
   65.2%  4286/4512 slices  6.17B/9.47B positions  3.4M/s  30m elapsed, 16m left
   65.8%  4288/4512 slices  6.23B/9.47B positions  3.4M/s  31m elapsed, 16m left
   66.1%  4293/4512 slices  6.26B/9.47B positions  3.4M/s  31m elapsed, 16m left
   66.3%  4296/4512 slices  6.28B/9.47B positions  3.4M/s  31m elapsed, 16m left
   66.5%  4297/4512 slices  6.30B/9.47B positions  3.4M/s  31m elapsed, 16m left
   66.9%  4306/4512 slices  6.33B/9.47B positions  3.4M/s  31m elapsed, 15m left
   67.2%  4307/4512 slices  6.37B/9.47B positions  3.4M/s  31m elapsed, 15m left
   68.0%  4308/4512 slices  6.44B/9.47B positions  3.4M/s  32m elapsed, 15m left
   68.1%  4309/4512 slices  6.45B/9.47B positions  3.4M/s  32m elapsed, 15m left
   68.4%  4316/4512 slices  6.47B/9.47B positions  3.4M/s  32m elapsed, 15m left
   68.5%  4321/4512 slices  6.49B/9.47B positions  3.4M/s  32m elapsed, 15m left
   68.8%  4328/4512 slices  6.52B/9.47B positions  3.4M/s  32m elapsed, 15m left
   69.0%  4338/4512 slices  6.54B/9.47B positions  3.4M/s  32m elapsed, 15m left
   69.4%  4341/4512 slices  6.57B/9.47B positions  3.4M/s  33m elapsed, 14m left
   69.6%  4346/4512 slices  6.59B/9.47B positions  3.4M/s  33m elapsed, 14m left
   70.4%  4351/4512 slices  6.67B/9.47B positions  3.4M/s  33m elapsed, 14m left
   70.7%  4355/4512 slices  6.70B/9.47B positions  3.4M/s  33m elapsed, 14m left
   70.9%  4358/4512 slices  6.72B/9.47B positions  3.4M/s  33m elapsed, 14m left
   71.2%  4364/4512 slices  6.74B/9.47B positions  3.4M/s  33m elapsed, 14m left
   71.5%  4365/4512 slices  6.77B/9.47B positions  3.4M/s  34m elapsed, 13m left
   72.1%  4366/4512 slices  6.83B/9.47B positions  3.4M/s  34m elapsed, 13m left
   72.3%  4367/4512 slices  6.85B/9.47B positions  3.4M/s  34m elapsed, 13m left
   72.5%  4375/4512 slices  6.87B/9.47B positions  3.4M/s  34m elapsed, 13m left
   72.7%  4377/4512 slices  6.88B/9.47B positions  3.4M/s  34m elapsed, 13m left
   73.1%  4384/4512 slices  6.92B/9.47B positions  3.3M/s  34m elapsed, 13m left
   73.9%  4390/4512 slices  7.00B/9.47B positions  3.3M/s  35m elapsed, 12m left
   74.1%  4393/4512 slices  7.02B/9.47B positions  3.3M/s  35m elapsed, 12m left
   74.3%  4395/4512 slices  7.04B/9.47B positions  3.3M/s  35m elapsed, 12m left
   74.5%  4400/4512 slices  7.06B/9.47B positions  3.3M/s  35m elapsed, 12m left
   74.8%  4401/4512 slices  7.09B/9.47B positions  3.3M/s  36m elapsed, 12m left
   75.4%  4402/4512 slices  7.14B/9.47B positions  3.3M/s  36m elapsed, 12m left
   75.5%  4403/4512 slices  7.15B/9.47B positions  3.3M/s  36m elapsed, 12m left
   82.5%  4410/4512 slices  7.81B/9.47B positions  3.3M/s  40m elapsed, 8m left
   82.6%  4414/4512 slices  7.82B/9.47B positions  3.3M/s  40m elapsed, 8m left
   83.0%  4421/4512 slices  7.86B/9.47B positions  3.3M/s  40m elapsed, 8m left
   83.9%  4426/4512 slices  7.94B/9.47B positions  3.3M/s  41m elapsed, 8m left
   84.1%  4429/4512 slices  7.97B/9.47B positions  3.3M/s  41m elapsed, 8m left
   84.5%  4432/4512 slices  8.00B/9.47B positions  3.3M/s  41m elapsed, 7m left
   84.9%  4433/4512 slices  8.04B/9.47B positions  3.3M/s  41m elapsed, 7m left
   85.2%  4435/4512 slices  8.07B/9.47B positions  3.3M/s  41m elapsed, 7m left
   85.5%  4436/4512 slices  8.10B/9.47B positions  3.3M/s  41m elapsed, 7m left
   86.2%  4437/4512 slices  8.16B/9.47B positions  3.3M/s  42m elapsed, 7m left
   87.0%  4438/4512 slices  8.24B/9.47B positions  3.3M/s  42m elapsed, 6m left
   87.2%  4441/4512 slices  8.26B/9.47B positions  3.3M/s  42m elapsed, 6m left
   87.5%  4443/4512 slices  8.28B/9.47B positions  3.3M/s  42m elapsed, 6m left
   87.8%  4445/4512 slices  8.31B/9.47B positions  3.3M/s  43m elapsed, 6m left
   88.0%  4446/4512 slices  8.33B/9.47B positions  3.3M/s  43m elapsed, 6m left
   88.3%  4447/4512 slices  8.36B/9.47B positions  3.3M/s  43m elapsed, 6m left
   88.5%  4450/4512 slices  8.38B/9.47B positions  3.3M/s  43m elapsed, 6m left
   89.5%  4451/4512 slices  8.48B/9.47B positions  3.3M/s  43m elapsed, 5m left
   89.8%  4454/4512 slices  8.50B/9.47B positions  3.2M/s  44m elapsed, 5m left
   90.2%  4456/4512 slices  8.54B/9.47B positions  3.2M/s  44m elapsed, 5m left
   90.5%  4457/4512 slices  8.57B/9.47B positions  3.3M/s  44m elapsed, 5m left
   90.7%  4460/4512 slices  8.59B/9.47B positions  3.3M/s  44m elapsed, 5m left
   91.0%  4463/4512 slices  8.61B/9.47B positions  3.3M/s  44m elapsed, 4m left
   91.3%  4465/4512 slices  8.65B/9.47B positions  3.3M/s  44m elapsed, 4m left
   92.5%  4468/4512 slices  8.76B/9.47B positions  3.2M/s  45m elapsed, 4m left
   92.7%  4471/4512 slices  8.78B/9.47B positions  3.2M/s  45m elapsed, 4m left
   93.1%  4473/4512 slices  8.81B/9.47B positions  3.2M/s  45m elapsed, 3m left
   93.3%  4474/4512 slices  8.83B/9.47B positions  3.3M/s  45m elapsed, 3m left
   93.5%  4478/4512 slices  8.85B/9.47B positions  3.3M/s  45m elapsed, 3m left
   93.7%  4481/4512 slices  8.88B/9.47B positions  3.3M/s  46m elapsed, 3m left
   93.9%  4483/4512 slices  8.90B/9.47B positions  3.3M/s  46m elapsed, 3m left
